1333   trigylceride                                              68               20               +                        +      +        +                                        +                     +                  +           -       0     -     0       +        -     +      +                +
104              40                +                        +      +        +                                        +                     +                  +                                                      +      +                +
140              60                +                        +      +        +                                        +                     +                  +                                                      +      +                +
176              80                                         +      +        +                                        +                     +                  +                                                      +      +                +
212              100                                        +      +        +                                        +                     +                  +                                                      +      +                +
1335   fatty acids > C6                          TP              68               20               +             0    +     +      +        +                                        +                     +                  +           -       0     -     0       +        -     +      +                +
carboxylic acids > C6                     TP             104              40                +             0    +     +      +        +                                        +                     +                  +                                                      +      +                +
RCO2H                                     TP             140              60                +       0     0    +            +        +                                        +                     +                  +                                                      +      +                +
TP             176              80                                         +      +        +                                        +                     +                  +                                                      +      +                +
TP             212              100                                               +        +                                        +                     +                  +                                                      +      +                +
1336   fluorine                     gas          TP              68               20                -      -     -    -     -      +        +                                                                                                     -     -     -       0        0     0
F2                           gas          TP             104              40                        -                       +        +
gas          TP             140              60                        -                       +        +
gas          TP             176              80                        -                       +        +
gas          TP             212              100                                               +        +
1337   fluoroboric acid              aq         50%             68               20                                         +      +        +                                                                                             -       -           -                      +      +
tetrafluoroboric acid         aq         50%             104              40                                         +      +        +                                                                                                                                        +      +
hydrogen tetrafluoroborate    aq         50%             140              60                                                +        +                                                                                                                                        +      +
aq         50%             176              80                                                +        +
HBF4                          aq         50%             212              100                                               +        +
1338   hexafluorosilicic acid        aq         10%             68               20                +       +     +    +     +      +        +                                                                                 +           +       0     +     0       +        +     +      +       +        +
fluorosilicic acid            aq         10%             104              40                +             +    +     +      +        +                                                                                 +                         +             +              +      +       +        +
H2SiF6                        aq         10%             140              60                              +    +     +      +        +                                                                                                                                  -     +      +
H2F6Si                        aq         10%             176              80                                         +      +        +                                                                                                                                               +
aq         10%             212              100                                        +      +        +                                                                                                                                               +
aq         30%              68               20               +       +     +    +     +      +        +                                                                                 +           0       -     +     0       +        +     +      +       +        +
aq         30%             104              40                +             +    +     +      +        +                                                                                 +                         +             +              +      +       +        +
aq         30%             140              60                              +    +     +      +        +                                                                                                                                  -     +      +
aq         30%             176              80                                         +      +        +                                                                                                                                               +
aq         30%             212              100                                        +      +        +                                                                                                                                               +
aq         35%              68               20               +             +    +     +      +        +                                                                                 +           -       -     +     0       +        +     +      +       +        +
aq         35%             104              40                +             +    +     +      +        +                                                                                 +                         +             +              +      +       +        +
aq         35%             140              60                              +    +     +      +        +                                                                                                                                  -     +      +
aq         40%              68               20               +             +    +     +      +        +                                                                                 +           -       -     +     0       +        +     +      +       +        +
aq         40%             104              40                +             +    +     +      +        +                                                                                 +                                                      +      +       +        +
aq         40%             140              60                              +    +     +      +        +                                                                                                                                  -     +      +



50 of 110
                                                                                                                                                                     304 Stainless Steel

316 Stainless Steel
Temperature °C
Temperature °F
Concentration




Polysulfone




Hastelloy C
Polyamide




"FKM, FPM"
Condition




"FEP, PFA"




Buna-N




Carbon
PVC-U




EPDM




Al2O3
FFKM
PVDF
CPVC




PTFE




CSM
NBR




SSIC
CR
PP
PE
1339   hydrofluoric acid    aq         10%             68               20                +       +     +    +     +      +        +           -           0                  -                     -                 -          -       -     -     -       +        0     +      +                 -
HF                   aq         10%             104              40                +             +    +     +      +        +                                                                                                                         +        0     +      +
aq         10%             140              60                0             +    0     +      +        +                                                                                                                                        +      +
aq         10%             176              80                        0          0     +      +        +                                                                                                                                               +
aq         10%             212              100                                        +      +        +                                                                                                                                               +
aq         40%              68               20               +       -     +    +     +      +        +           -            -                 -                     -                 -          -       -     -     -       +        -     +      +                 -
aq         40%             752              400                             +    +     +      +        +                                                                                                                         +              +      +
aq         40%             140              60                 -                       +      +        +                                                                                                                                        +      +
aq         40%             176              80                                         +      +        +                                                                                                                                               +
aq         40%             212              100                                        +      +        +                                                                                                                                               +
aq         50%              68               20                0      -     +    +     +      +        +           -            -                 -                     -                 -          -       -     -     -       +        -     +      +                 -
aq         50%             104              40                 -            +    0     +      +        +                                                                                                                         +              +      +
aq         50%             140              60                                         +      +        +                                                                                                                                               +
aq         50%             176              80                                         +      +        +                                                                                                                                               +
aq         60%              68               20                -      -     +    0     +      +        +                                                                                                                         0        -     +      +                 -
aq         60%             104              40                              0    0     +      +        +                                                                                                                         0              +      +
aq         60%             140              60                                         +      +        +                                                                                                                                               +
aq         70%              68               20                -      -     +    -     +      +        +           -            -                 -                     -                 -          -       -     -     -       0        -     0      +                 -
aq         70%             104              40                                         +      +        +                                                                                                                         0              0      +
aq         70%             140              60                                         +      +        +                                                                                                                                               +
aq         15%              68               20               +       -     +    +     +      +        +          +            +                +                     +                  +           +       +     +     +       +        +     +      +       +        +
1340   Formaldehyde         aq         15%             104              40                +       -     +    +     +      +        +          +            +                +                     +                  +           +       +     +     +       +        +     +      +       +        +
methanal             aq         15%             140              60                0       -     +    +     +      +        +          +            +                +                     +                  +           +       +     +     +       +        0     +      +       +        +
H2C=O                aq         15%             176              80                        -                +      +        +                                        +                     +                  +                                                      +      +
CH2O                 aq         15%             212              100                                               +        +                                        +                     +                  +                                                             +
aq         30%              68               20               +       -     +    +     +      +        +          +            +                +                     +                  +           +       +     +     +       +        +     +      +       +        +
aq         30%             104              40                +       -     +    +     +      +        +          +            +                +                     +                  +           +       +     +     +       +        +     +      +       +        +
aq         30%             140              60                0       -     +    +     +      +        +          +            +                +                     +                  +           +       +     +     +       +        0     +      +       +        +
aq         30%             176              80                        -                +      +        +                                        +                     +                  +                                                      +      +
aq         30%             212              100                                               +        +                                        +                     +                  +                                                             +
aq         40%              68               20               +       -     +    +     +      +        +          +            +                +                     +                  +           +       +     +     +       +        +     +      +       +        +
aq         40%             104              40                +       -     +    +     +      +        +          +            +                +                     +                  +           +       +     +     +       +        +     +      +       +        +
aq         40%             140              60                0       -     +    +     +      +        +                                        +                     +                  +                   0     +     0       +        0     +      +       +        +
aq         40%             176              80                        -                +      +        +                                        +                     +                  +                                                      +      +
aq         40%             212              100                                               +        +                                        +                     +                  +                                                             +
1341   formamide                        TP              68               20                -            +    +            +        +                                        +                     +                  +           +       +     +     +       0        +     +      +                +
formic acid amide                TP             104              40                              +    +            +        +                                        +                     +                  +           +       +     +     +       0        +     +      +                +
TP             140              60                              +    +            +        +                                        +                     +                  +           +       -     +     -       0        +     +      +                +
HCONH2                           TP             176              80                                                +        +                                        +                     +                  +                                                             +                +
CH3NO                            TP             212              100                                               +        +                                        +                     +                  +                                                             +                +




51 of 110
                                                                                                                                                                                          304 Stainless Steel

316 Stainless Steel
Temperature °C
Temperature °F
Concentration




Polysulfone




Hastelloy C
Polyamide




"FKM, FPM"
Condition




"FEP, PFA"




Buna-N




Carbon
PVC-U




EPDM




Al2O3
FFKM
PVDF
CPVC




PTFE




CSM
NBR




SSIC
CR
PP
PE
"1342   Freon 11 (CFC-11, F-11)                  gas          TP              68               20               +       0     -    -     +      +        +                                                                                             -       +     -     -       0        +     -"
trichlorofluoromethane                   gas          TP             104              40                        0                +      +        +
Frigen 11                                gas          TP             140              60                        0                +      +        +
gas          TP             176              80                        0                +      +        +
CCl3F                                    gas          TP             212              100                                        +      +        +
"1343   Freon 112 (CFC-112, F-112)                            TP              68               20               +       0     -    -     +      +        +                       0                                                                             0     0"
"1,1,2,2-tetrachloro-1,2-difluoroethane                TP             104              40                        0                +      +        +"
CCl2FCCl2F                                            TP             140              60                        0                       +        +
C2Cl4F2                                               TP             176              80                        0                       +        +
TP             212              100                                               +        +
"1344   Freon 113 (CFC-113, F-113)                            TP              68               20               +       0                +      +        +                                                                                             -       +     -     +       +        +     -"
"1,2,2-trichloro-1,1,2-trifluoroethane                 TP             104              40                        0                +      +        +"
TP             140              60                        0                       +        +
CClF2CCl2F                                            TP             176              80                        0                       +        +
C2Cl3F3                                               TP             212              100                                               +        +
"1345   Freon 12 (CFC-12, F-12)                  gas          TP              68               20               +       0     0    0     +      +        +          +                                                                                          0     0     +       0        0     +"
dichlorodifluoromethane                  gas          TP             104              40                        0                       +        +          +                                                                                                                             +
CCl2F2                                   gas          TP             140              60                        0                       +        +
gas          TP             176              80                        0                       +        +
gas          TP             212              100                                               +        +
"1346   Freon 21 (HCFC-21, F-21)                 gas          TP              68               20                -      0     -    -     +      +        +                                                                                                                                        -"
dichlorofluoromethane                    gas          TP             104              40                        0                +      +        +
CHCl2F                                   gas          TP             140              60                        0                +      +        +
gas          TP             176              80                        0                +      +        +
gas          TP             212              100                                        +      +        +
"1347   Freon 22 (CFC-22, F-22)                  gas          TP              68               20               +       0                +      +        +                                                                                                                                        -"
chlorodifluoromethane                    gas          TP             104              40                        0                +      +        +
CHClF2                                   gas          TP             140              60                        0                +      +        +
gas          TP             176              80                        0                +      +        +
gas          TP             212              100                                        +      +        +
1348   fruit juices                                                          68               20               +             +    +     +      +        +                                        +                     +                  +           +       +     +     +       +        +     +      +       +        +
104              40                +             +    +     +      +        +                                        +                     +                  +           +       +     +     +       +        +     +      +       +        +
140              60                +             +    +     +      +        +                                        +                     +                  +           +       +     +     +       +        +     +      +       +        +
176              80                                   +     +      +        +                                        +                     +                  +           +       +     +     +       +        +     +      +       +
212              100                                        +      +        +                                        +                     +                  +           +       +     +     +       +        +     +      +       +
1349   D-fructose                                aq         CSC             68               20                +       +     +    +     +      +        +                       +                +                     +                  +           +       +     +     +       +        +     +      +       +        +
C6H12O6                                   aq         CSC             104              40                +       +     +    +     +      +        +                       +                +                     +                  +           +       +     +     +       +        +     +      +       +        +
aq         CSC             140              60                +       +     +    +     +      +        +                       +                +                     +                  +           +       +     +     +       +        +     +      +       +        +
aq         CSC             176              80                        +          +     +      +        +                                        +                     +                  +           0       +     +     +       +        +     +      +       +
aq         CSC             212              100                                        +      +        +                                        +                     +                  +                                       +              +      +       +




52 of 110
                                                                                                                                                                         304 Stainless Steel

316 Stainless Steel
Temperature °C
Temperature °F
Concentration




Polysulfone




Hastelloy C
Polyamide




"FKM, FPM"
Condition




"FEP, PFA"




Buna-N




Carbon
PVC-U




EPDM




Al2O3
FFKM
PVDF
CPVC




PTFE




CSM
NBR




SSIC
CR
PP
PE
1350   furan                                TP              68                20               -      -                +      +        +                        -               +                     +                  +           -       -     -     -       -        -     +      +                +
C4H4O                                TP             104                40                                       -      +        +                                        +                     +                  +                                                      +      +                +


1351   furfural                             TP              68               20                -      -     +    +     -      +        +                                        +                     +                  +           -       -     0     -       -        0     +      +                +
2-furylaldehyde                      TP             104              40                              +                 +        +                                        +                     +                  +                                                      +      +                +
C5H4O2                               TP             140              60                              0                 +        +                                        +                     +                  +                                                      +      +                +
TP             176              80                                                +        +                                        +                     +                  +                                                      +      +                +
TP             212              100                                               +        +                                        +                     +                  +                                                             +                +
1352   furfuryl alcohol                     TP              68               20                -      -     +    +     +      +        +           -                            +                     +                  +                   -     0     0       -        0     +      +                +
2-furylmethanol                      TP             104              40                              +    0     +      +        +                                        +                     +                  +                                                0     +      +                +
2-hydroxymethylfuran                 TP             140              60                              +    0     0      +        +                                        +                     +                  +                                                0     +      +                +
TP             176              80                                                +        +                                        +                     +                  +                                                0            +                +
C5H6O2                               TP             212              100                                               +        +                                        +                     +                  +                                                             +                +
1353   Genapol X- 080                        TP             68               20                                               +        +                                        +                     +                  +                                       +              +      +                +
TP            104              40                                                +        +                                        +                     +                  +                                       +              +      +                +
TP            140              60                                                +        +                                        +                     +                  +                                                      +      +                +
TP            176              80                                                +        +                                        +                     +                  +                                                      +      +                +
TP            212              100                                               +        +                                        +                     +                  +                                                                              +
1356   gelatine                                             68               20               +             +    +     +      +        +                                                              +                              +       +     +     +       +        +
104              40                +             +    +     +      +        +                                                              +                              +       +     +     +       +        +
140              60                              +    +     +      +        +
176              80                                         +      +        +
212              100                                               +        +
1358   glutamic acid            aq          DL             68               20                +             +    +     +      +        +                                                                                 +                                                      +      +       +        +
2-aminoglutaric acid     aq          DL             104              40                              +    +            +        +                                                                                 +                                                      +      +       +        +
aq          DL             140              60                              +    +            +        +                                                                                 +                                                      +      +       +        +
HO2CCH2CH2CH(NH2)CO2H    aq          DL             176              80                                                +        +                                                                                 +                                                      +      +
C5H9NO4                  aq          DL             212              100                                               +        +                                                                                 +                                                             +
1359   glycolic acid            aq         37%             68               20                +             +    +     +      +        +          +                                                    0                 +           +       +     +     +       +        +     +      +                +
hydroxyacetic acid       aq         37%             104              40                +             +    +     +      +        +          +                                                                      +                   +     +     +       +        +     +      +                +
aq         37%             140              60                0             +    0     +      +        +                                                                                                     +     +     +       +        +     +      +                +
HOCH2CO2H                aq         37%             176              80                                         +      +        +                                                                                                                                        +      +
C2H4O3                   aq         37%             212              100                                        0      +        +                                                                                                                                        +      +
1360   glycerol                             TP              68               20               +       +     +    +     +      +        +                       +                +                     +                  +           +       +     +     +       +        +     +      +       +        +
propanetriol                         TP             104              40                +       +     +    +     +      +        +                       +                +                     +                  +           +       +     +     +       +        +     +      +       +        +
TP             140              60                +       +     +    +     +      +        +                       +                +                     +                  +           +       +     +     +       +        +     +      +       +        +
HOCH2CH(OH)CH2OH                     TP             176              80                        +          +     +      +        +                                        +                     +                  +           +       +     +     +       +        +     +      +                +
C3H8O3                               TP             212              100                                        +      +        +                                        +                     +                  +           0       +     +     0       +        +     +      +
TP             248              120                                               +        +                                        +                     +                  +                                                             +




53 of 110
                                                                                                                                                                            304 Stainless Steel

316 Stainless Steel
Temperature °C
Temperature °F
Concentration




Polysulfone




Hastelloy C
Polyamide




"FKM, FPM"
Condition




"FEP, PFA"




Buna-N




Carbon
PVC-U




EPDM




Al2O3
FFKM
PVDF
CPVC




PTFE




CSM
NBR




SSIC
CR
PP
PE
"1361   3-chloro-1,2-propanediol                TP              68               20               +             +    +     +      +        +                                        +                     +                  +           +       -     +     0       0        +            +                +"
TP             104              40                0             +          +      +        +                                        +                     +                  +           0             +                      0            +                +
ClCH2CH(OH)CH2OH                        TP             140              60                              +          +      +        +                                        +                     +                  +           0             +                                   +                +
C3H7ClO2                                TP             176              80                                         +      +        +                                        +                     +                  +                                                             +                +
TP             212              100                                               +        +                                        +                     +                  +                                                             +                +
1362   uric acid                   aq         CSC             68               20                +             +    +     +      +        +          0                             +                     +                  +           +       +     +     +       +        +     +      +       +        +
"2,6,8-trihydroxypurine      aq         CSC             104              40                +             +    +     +      +        +                                        +                     +                  +           +       +     +     +       +        +     +      +       +        +"
aq         CSC             140              60                              +    +     +      +        +                                                              +                  +           +       +     +     +       +        +     +      +       +        +
aq         CSC             176              80                                         +      +        +                                                                                 +           +             +                      +     +      +
C5H4N4O3                    aq         CSC             212              100                                               +        +                                                                                 +                                                      +      +
1363   urea                        aq          DL              68               20               +       +     +    +     +      +        +                       +                +                     +                  +                   +     +     +       +        +     +      +       +        +
carbonic acid diamide       aq          DL             104              40                +       +     +    +     +      +        +                       +                +                     +                  +                   +     +     +       +        +     +      +       +        +
carbamide                   aq          DL             140              60                -             +    +     +      +        +                       +                +                     +                  +                   +     +     +       +        +     +      +       +        +
H2NCONH2                    aq          DL             176              80                                   +     +      +        +                                        +                     +                  +                                                      +      +       +
CH4N2O                      aq          DL             212              100                                               +        +                                        +                     +                  +                                                      +      +
aq         30%              68               20               +       +     +    +     +      +        +                       +                +                     +                  +                   +     +     +       +        +     +      +       +        +
aq         30%             104              40                +       +     +    +     +      +        +                       +                +                     +                  +           +       +     +     +       +        +     +      +       +        +
aq         30%             140              60                -       +     +    +     +      +        +                       +                +                     +                  +           +       +     +     +       +        +     +      +       +        +
aq         30%             176              80                        +          +     +      +        +                                        +                     +                  +           +             +                      +     +      +       +
aq         30%             212              100                                        0      +        +                                        +                     +                  +                                                      +      +
aq         CSC             68               20                +       +     +    +     +      +        +                       +                +                     +                  +                   +     +     +       +        +     +      +       +        +
aq         CSC             104              40                +       +     +    +     +      +        +                       +                +                     +                  +                   +     +     +       +        +     +      +       +        +
